InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,TotalAmount,Year,Month,Day,DayOfWeek
C543582,ST90700,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,2023-03-28,20.2,10504,United Kingdom,101.0,101.0,2023,3,28,Tuesday
C559990,ST66181,SET 7 BABUSHKA NESTING BOXES,97,2023-03-02,9.03,10342,Portugal,875.91,875.91,2023,3,2,Thursday
C575661,ST49526,POPPY'S PLAYHOUSE BEDROOM,3,2023-06-21,49.21,10544,United Kingdom,147.63,147.63,2023,6,21,Wednesday
C559196,ST44786,GLASS STAR FROSTED T-LIGHT HOLDER,8,2023-05-27,36.68,10640,United Kingdom,293.44,293.44,2023,5,27,Saturday
C541369,ST29213,WHITE HANGING HEART T-LIGHT HOLDER,39,2023-12-31,42.97,10831,United Kingdom,1675.83,1675.83,2023,12,31,Sunday
C561963,ST24832,LUNCH BAG RED RETROSPOT,8,2023-03-17,44.96,10328,EIRE,359.68,359.68,2023,3,17,Friday
C554615,ST60465,ASSORTED COLOUR BIRD ORNAMENT,3,2023-08-07,10.7,10592,United Kingdom,32.099999999999994,32.099999999999994,2023,8,7,Monday
C568753,ST93440,PARTY BUNTING,7,2023-06-13,33.43,10362,United Kingdom,234.01,234.01,2023,6,13,Tuesday
C579222,ST79962,BOX OF VINTAGE JIGSAW BLOCKS,9,2023-03-12,27.77,10342,EIRE,249.93,249.93,2023,3,12,Sunday
C571506,ST79067,BOX OF 6 ASSORTED COLOUR TEASPOONS,10,2023-09-30,39.56,10505,Switzerland,395.6,395.6,2023,9,30,Saturday
C550739,ST12248,SET 7 BABUSHKA NESTING BOXES,1,2023-12-22,11.86,10592,United Kingdom,11.86,11.86,2023,12,22,Friday
C567424,ST57298,HAND WARMER RED POLKA DOT,27,2023-10-13,50.2,10372,United Kingdom,1355.4,1355.4,2023,10,13,Friday
C555678,ST65191,LUNCH BAG PINK POLKADOT,9,2023-03-13,53.47,10870,United Kingdom,481.23,481.23,2023,3,13,Monday
C551083,ST28753,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-04-18,52.95,10249,EIRE,105.9,105.9,2023,4,18,Tuesday
C564198,ST19669,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,2,2023-01-14,36.74,10387,United Kingdom,73.48,73.48,2023,1,14,Saturday
C546731,ST20101,WHITE METAL LANTERN,3,2023-11-01,5.13,10489,United Kingdom,15.39,15.39,2023,11,1,Wednesday
C563660,ST79133,ASSORTED COLOUR BIRD ORNAMENT,8,2023-10-19,41.11,10013,Belgium,328.88,328.88,2023,10,19,Thursday
C567179,ST11731,LARGE POPCORN HOLDER,8,2023-06-03,43.16,10716,United Kingdom,345.28,345.28,2023,6,3,Saturday
C546581,ST32751,KNITTED UNION FLAG HOT WATER BOTTLE,24,2023-02-26,33.57,10294,United Kingdom,805.6800000000001,805.6800000000001,2023,2,26,Sunday
C537077,ST43823,SMALL POPCORN HOLDER,78,2023-03-24,30.86,10516,United Kingdom,2407.08,2407.08,2023,3,24,Friday
C569255,ST45628,RECIPE BOX WITH METAL HEART,7,2023-10-20,51.29,10942,United Kingdom,359.03,359.03,2023,10,20,Friday
C570542,ST62481,WHITE BUTTERFLY T-LIGHT HOLDER,36,2023-02-17,41.09,10997,United Kingdom,1479.2400000000002,1479.2400000000002,2023,2,17,Friday
C550711,ST89309,SMALL POPCORN HOLDER,12,2023-01-29,53.7,10634,United Kingdom,644.4000000000001,644.4000000000001,2023,1,29,Sunday
C567064,ST59868,LUNCH BAG SUKI DESIGN,11,2023-02-09,22.79,10862,United Kingdom,250.69,250.69,2023,2,9,Thursday
C560710,ST57540,PARTY BUNTING,2,2023-01-28,6.5,10169,United Kingdom,13.0,13.0,2023,1,28,Saturday
C538203,ST37775,BOX OF VINTAGE JIGSAW BLOCKS,9,2023-06-21,6.62,10618,Channel Islands,59.58,59.58,2023,6,21,Wednesday
C556623,ST41501,FELTCRAFT PRINCESS CHARLOTTE DOLL,11,2023-01-06,51.17,10612,United Kingdom,562.87,562.87,2023,1,6,Friday
C573728,ST51232,SKULL SHOULDER BAG,8,2023-02-13,3.32,10276,Italy,26.56,26.56,2023,2,13,Monday
C536920,ST51218,BLUE CHERRY LIGHTS,7,2023-06-08,27.94,10096,United Kingdom,195.58,195.58,2023,6,8,Thursday
C559685,ST76005,HAND WARMER RED POLKA DOT,2,2023-07-20,18.79,10770,Spain,37.58,37.58,2023,7,20,Thursday
C546207,ST14903,WHITE METAL LANTERN,7,2023-09-15,26.68,10104,France,186.76,186.76,2023,9,15,Friday
C546296,ST40352,LUNCH BAG PINK POLKADOT,11,2023-03-24,5.9,10298,United Kingdom,64.9,64.9,2023,3,24,Friday
C581025,ST75748,ASSORTED COLOUR BIRD ORNAMENT,3,2023-04-21,54.64,10906,Germany,163.92000000000002,163.92000000000002,2023,4,21,Friday
C579054,ST27196,MASON JAR CANDLE HOLDER,63,2023-11-08,25.08,10529,Spain,1580.04,1580.04,2023,11,8,Wednesday
C559978,ST99505,SAVE THE WHALE COTTON BAG,75,2023-05-29,3.02,10348,United Kingdom,226.5,226.5,2023,5,29,Monday
C550050,ST75211,SAVE THE WHALE COTTON BAG,3,2023-05-03,31.55,10397,United Kingdom,94.65,94.65,2023,5,3,Wednesday
C545711,ST69612,RECIPE BOX WITH METAL HEART,2,2023-01-08,27.87,10100,United Kingdom,55.74,55.74,2023,1,8,Sunday
C555737,ST21695,POPPY'S PLAYHOUSE KITCHEN,10,2023-03-28,20.52,10322,France,205.2,205.2,2023,3,28,Tuesday
C566560,ST67939,BOX OF VINTAGE ALPHABET BLOCKS,52,2023-04-02,42.17,10073,Germany,2192.84,2192.84,2023,4,2,Sunday
C544489,ST62551,SKULL SHOULDER BAG,6,2023-03-13,47.37,10666,France,284.22,284.21999999999997,2023,3,13,Monday
C580967,ST51110,HAND WARMER RED POLKA DOT,9,2023-11-14,46.6,10419,United Kingdom,419.4,419.40000000000003,2023,11,14,Tuesday
C581073,ST99463,LARGE POPCORN HOLDER,5,2023-02-12,48.36,10383,France,241.8,241.8,2023,2,12,Sunday
C578561,ST83505,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-11-14,38.74,10044,United Kingdom,154.96,154.96,2023,11,14,Tuesday
C543265,ST19565,LOVE BUILDING BLOCK WORD,10,2023-03-21,22.47,10009,United Kingdom,224.7,224.7,2023,3,21,Tuesday
C566660,ST70929,SET 7 BABUSHKA NESTING BOXES,8,2023-07-18,35.64,10229,United Kingdom,285.12,285.12,2023,7,18,Tuesday
C548179,ST36145,GLASS STAR FROSTED T-LIGHT HOLDER,70,2023-02-13,42.45,10112,United Kingdom,2971.5,2971.5,2023,2,13,Monday
C540590,ST72419,CHOCOLATE HOT WATER BOTTLE,10,2023-06-18,27.18,10412,United Kingdom,271.8,271.8,2023,6,18,Sunday
C566156,ST37979,CREAM CUPID HEARTS COAT HANGER,8,2023-05-23,8.73,10118,United Kingdom,69.84,69.84,2023,5,23,Tuesday
C538417,ST57381,AIRLINE BAG VINTAGE JET SET,1,2023-10-18,51.56,10328,United Kingdom,51.56,51.56,2023,10,18,Wednesday
C567390,ST99610,IVORY KNITTED MUG COZY,1,2023-08-09,52.44,10809,United Kingdom,52.44,52.44,2023,8,9,Wednesday
C552884,ST63093,PACK OF 72 RETROSPOT CAKE CASES,3,2023-05-19,4.6,10434,United Kingdom,13.8,13.799999999999999,2023,5,19,Friday
C565949,ST34127,LARGE POPCORN HOLDER,11,2023-06-02,49.21,10084,United Kingdom,541.3100000000001,541.3100000000001,2023,6,2,Friday
C542423,ST55780,PARTY BUNTING,5,2023-01-28,9.76,10851,United Kingdom,48.8,48.8,2023,1,28,Saturday
C567928,ST67250,LUNCH BAG SUKI DESIGN,3,2023-08-03,53.14,10965,United Kingdom,159.42000000000002,159.42000000000002,2023,8,3,Thursday
C573741,ST88266,WHITE BUTTERFLY T-LIGHT HOLDER,91,2023-12-21,43.25,10364,United Kingdom,3935.75,3935.75,2023,12,21,Thursday
C580140,ST51486,AIRLINE BAG VINTAGE WORLD CHAMPION,6,2023-02-09,36.81,10204,United Kingdom,220.86,220.86,2023,2,9,Thursday
C566423,ST98335,ASSORTED COLOUR BIRD ORNAMENT,6,2023-03-19,7.0,10015,United Kingdom,42.0,42.0,2023,3,19,Sunday
C570489,ST93744,WHITE HANGING HEART T-LIGHT HOLDER,36,2023-05-15,35.2,10417,United Kingdom,1267.2,1267.2,2023,5,15,Monday
C542751,ST81576,CREAM CUPID HEARTS COAT HANGER,4,2023-10-24,23.6,10993,United Kingdom,94.4,94.4,2023,10,24,Tuesday
C575748,ST99080,WHITE BUTTERFLY T-LIGHT HOLDER,4,2023-03-27,52.42,10793,United Kingdom,209.68,209.68,2023,3,27,Monday
C560630,ST26350,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,5,2023-01-08,28.04,10591,EIRE,140.2,140.2,2023,1,8,Sunday
C578892,ST81102,LUNCH BAG PINK POLKADOT,6,2023-09-13,19.92,10717,United Kingdom,119.52,119.52000000000001,2023,9,13,Wednesday
C558373,ST33186,HAND WARMER UNION JACK,78,2023-09-25,24.05,10437,United Kingdom,1875.9,1875.9,2023,9,25,Monday
C547024,ST99165,GLASS HANGING T-LIGHT HOLDER,5,2023-11-01,46.61,10567,United Kingdom,233.05,233.05,2023,11,1,Wednesday
C554927,ST23606,SAVE THE WHALE COTTON BAG,32,2023-11-21,54.75,10448,United Kingdom,1752.0,1752.0,2023,11,21,Tuesday
C537441,ST91766,SAVE THE WHALE COTTON BAG,33,2023-11-29,27.73,10092,United Kingdom,915.09,915.09,2023,11,29,Wednesday
C542899,ST97518,PACK OF 72 RETROSPOT CAKE CASES,10,2023-10-06,44.49,10950,United Kingdom,444.9,444.90000000000003,2023,10,6,Friday
C550250,ST35632,BOX OF 6 ASSORTED COLOUR TEASPOONS,9,2023-08-04,21.49,10297,United Kingdom,193.41,193.41,2023,8,4,Friday
C544520,ST94523,BLUE CHERRY LIGHTS,79,2023-08-29,23.21,10877,United Kingdom,1833.59,1833.5900000000001,2023,8,29,Tuesday
C536863,ST96334,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,9,2023-07-22,16.21,10721,United Kingdom,145.89,145.89000000000001,2023,7,22,Saturday
C563543,ST13440,BOX OF VINTAGE JIGSAW BLOCKS,7,2023-06-07,2.62,10271,Germany,18.34,18.34,2023,6,7,Wednesday
C570375,ST66363,AIRLINE BAG VINTAGE JET SET,3,2023-07-11,52.79,10158,France,158.37,158.37,2023,7,11,Tuesday
C562013,ST85740,FELTCRAFT PRINCESS CHARLOTTE DOLL,7,2023-10-12,45.72,10248,Germany,320.04,320.03999999999996,2023,10,12,Thursday
C578063,ST51697,WHITE BUTTERFLY T-LIGHT HOLDER,42,2023-03-07,22.68,10440,Switzerland,952.56,952.56,2023,3,7,Tuesday
C565030,ST92764,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-03-23,28.16,10530,United Kingdom,84.48,84.48,2023,3,23,Thursday
C577476,ST36707,BOX OF VINTAGE ALPHABET BLOCKS,40,2023-07-20,52.22,10591,United Kingdom,2088.8,2088.8,2023,7,20,Thursday
C538045,ST91015,PARTY BUNTING,10,2023-02-17,9.14,10096,United Kingdom,91.4,91.4,2023,2,17,Friday
C541527,ST69468,SKULL SHOULDER BAG,12,2023-10-06,40.61,10725,United Kingdom,487.32,487.32,2023,10,6,Friday
C559834,ST80178,POPPY'S PLAYHOUSE BEDROOM,4,2023-11-20,16.93,10650,Spain,67.72,67.72,2023,11,20,Monday
C561144,ST28844,BOX OF VINTAGE ALPHABET BLOCKS,5,2023-05-06,5.34,10861,United Kingdom,26.7,26.7,2023,5,6,Saturday
C578202,ST88105,AIRLINE BAG VINTAGE WORLD CHAMPION,34,2023-01-12,25.71,10643,Belgium,874.14,874.14,2023,1,12,Thursday
C545660,ST74781,LOVE BUILDING BLOCK WORD,3,2023-02-24,5.87,10126,United Kingdom,17.61,17.61,2023,2,24,Friday
C549994,ST73768,SMALL POPCORN HOLDER,1,2023-07-05,23.25,10865,Belgium,23.25,23.25,2023,7,5,Wednesday
C541366,ST93040,IVORY KNITTED MUG COZY,7,2023-11-17,49.03,10983,United Kingdom,343.21000000000004,343.21000000000004,2023,11,17,Friday
C546923,ST92734,POPPY'S PLAYHOUSE BEDROOM,3,2023-08-19,36.57,10931,United Kingdom,109.71,109.71000000000001,2023,8,19,Saturday
C544046,ST88642,PINK CHERRY LIGHTS,81,2023-01-17,54.72,10622,United Kingdom,4432.32,4432.32,2023,1,17,Tuesday
C546745,ST13873,MASON JAR CANDLE HOLDER,2,2023-01-03,11.29,10560,United Kingdom,22.58,22.58,2023,1,3,Tuesday
C570312,ST25045,SET OF 4 PANTRY JELLY MOULDS,4,2023-01-12,47.79,10549,United Kingdom,191.16,191.16,2023,1,12,Thursday
C538298,ST26591,CHOCOLATE HOT WATER BOTTLE,2,2023-04-22,40.26,10921,United Kingdom,80.52,80.52,2023,4,22,Saturday
C567925,ST95449,FELTCRAFT PRINCESS CHARLOTTE DOLL,64,2023-05-21,39.19,10275,France,2508.16,2508.16,2023,5,21,Sunday
C568857,ST42780,PARTY BUNTING,7,2023-08-28,50.8,10302,United Kingdom,355.6,355.59999999999997,2023,8,28,Monday
C581391,ST87015,HOME BUILDING BLOCK WORD,33,2023-04-12,32.45,10178,United Kingdom,1070.85,1070.8500000000001,2023,4,12,Wednesday
C549854,ST45608,SET OF 3 CAKE TINS PANTRY DESIGN,8,2023-03-26,23.8,10320,United Kingdom,190.4,190.4,2023,3,26,Sunday
C577188,ST56257,GLASS STAR FROSTED T-LIGHT HOLDER,7,2023-06-13,11.66,10836,Germany,81.62,81.62,2023,6,13,Tuesday
C540576,ST43169,LUNCH BAG RED RETROSPOT,1,2023-11-20,52.73,10383,United Kingdom,52.73,52.73,2023,11,20,Monday
C555598,ST13924,AIRLINE BAG VINTAGE JET SET,87,2023-07-29,19.92,10601,United Kingdom,1733.0400000000002,1733.0400000000002,2023,7,29,Saturday
C557512,ST38204,PARTY BUNTING,6,2023-04-03,14.13,10118,United Kingdom,84.78,84.78,2023,4,3,Monday
C560742,ST11428,ASSORTED COLOUR BIRD ORNAMENT,2,2023-07-10,1.37,10673,United Kingdom,2.74,2.74,2023,7,10,Monday
C550374,ST83615,LUNCH BAG PINK POLKADOT,6,2023-06-18,49.52,10735,United Kingdom,297.12,297.12,2023,6,18,Sunday
C554951,ST46444,AIRLINE BAG VINTAGE JET SET,4,2023-07-17,6.42,10068,United Kingdom,25.68,25.68,2023,7,17,Monday
C580362,ST67043,RED WOOLLY HOTTIE WHITE HEART,11,2023-11-08,23.69,10734,United Kingdom,260.59000000000003,260.59000000000003,2023,11,8,Wednesday
C549350,ST45968,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2023-06-13,27.85,10326,Germany,222.8,222.8,2023,6,13,Tuesday
C544497,ST40988,LUNCH BAG RED RETROSPOT,6,2023-03-03,32.86,10432,United Kingdom,197.16,197.16,2023,3,3,Friday
C555045,ST70525,WHITE METAL LANTERN,10,2023-01-11,54.35,10591,United Kingdom,543.5,543.5,2023,1,11,Wednesday
C562763,ST94512,CREAM CUPID HEARTS COAT HANGER,87,2023-03-09,2.97,10292,United Kingdom,258.39000000000004,258.39000000000004,2023,3,9,Thursday
C567159,ST46002,GLASS STAR FROSTED T-LIGHT HOLDER,73,2023-02-05,40.01,10017,Portugal,2920.73,2920.73,2023,2,5,Sunday
C562601,ST16169,SET 7 BABUSHKA NESTING BOXES,6,2023-06-27,27.59,10325,United Kingdom,165.54,165.54,2023,6,27,Tuesday
C566156,ST90999,SET OF 3 CAKE TINS PANTRY DESIGN,35,2023-06-02,46.5,10403,France,1627.5,1627.5,2023,6,2,Friday
C551046,ST52317,KNITTED UNION FLAG HOT WATER BOTTLE,37,2023-01-15,6.54,10106,United Kingdom,241.98,241.98,2023,1,15,Sunday
C564917,ST58349,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,2023-12-19,40.06,10883,United Kingdom,160.24,160.24,2023,12,19,Tuesday
C536688,ST49883,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-10-03,6.85,10836,United Kingdom,6.85,6.85,2023,10,3,Tuesday
C557947,ST32326,SAVE THE WHALE COTTON BAG,7,2023-05-16,15.47,10077,Switzerland,108.29,108.29,2023,5,16,Tuesday
C574602,ST86563,LUNCH BAG PINK POLKADOT,6,2023-03-12,47.52,10948,United Kingdom,285.12,285.12,2023,3,12,Sunday
C578105,ST85744,LUNCH BAG RED RETROSPOT,9,2023-07-31,29.42,10910,France,264.78000000000003,264.78000000000003,2023,7,31,Monday
C568484,ST22032,HOME BUILDING BLOCK WORD,12,2023-12-05,26.99,10490,Spain,323.88,323.88,2023,12,5,Tuesday
C541791,ST36986,BLUE CHERRY LIGHTS,4,2023-06-01,36.56,10271,United Kingdom,146.24,146.24,2023,6,1,Thursday
C541289,ST71361,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-02-09,37.16,10712,United Kingdom,37.16,37.16,2023,2,9,Thursday
C548680,ST79159,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-07-17,44.93,10839,United Kingdom,179.72,179.72,2023,7,17,Monday
C556800,ST27047,LUNCH BAG PINK POLKADOT,9,2023-06-10,6.57,10527,United Kingdom,59.13,59.13,2023,6,10,Saturday
C561634,ST62455,LUNCH BAG RED RETROSPOT,85,2023-07-06,11.84,10225,EIRE,1006.4,1006.4,2023,7,6,Thursday
C554573,ST85660,PARTY BUNTING,5,2023-02-05,52.37,10193,Netherlands,261.85,261.84999999999997,2023,2,5,Sunday
C546017,ST70404,LUNCH BAG PINK POLKADOT,34,2023-02-22,13.88,10664,United Kingdom,471.92,471.92,2023,2,22,Wednesday
C538238,ST25509,LUNCH BAG SUKI DESIGN,8,2023-05-17,19.91,10192,United Kingdom,159.28,159.28,2023,5,17,Wednesday
C541874,ST66472,BLUE CHERRY LIGHTS,3,2023-10-09,22.34,10950,France,67.02,67.02,2023,10,9,Monday
C539848,ST60137,LUNCH BAG RED RETROSPOT,2,2023-06-20,3.51,10521,United Kingdom,7.02,7.02,2023,6,20,Tuesday
C549074,ST79410,LOVE BUILDING BLOCK WORD,3,2023-08-05,33.02,10750,France,99.06,99.06,2023,8,5,Saturday
C570353,ST24559,PARTY BUNTING,1,2023-09-10,35.85,10623,United Kingdom,35.85,35.85,2023,9,10,Sunday
C539847,ST23242,CREAM CUPID HEARTS COAT HANGER,4,2023-02-28,4.42,10225,United Kingdom,17.68,17.68,2023,2,28,Tuesday
C577011,ST45162,SMALL POPCORN HOLDER,2,2023-04-26,12.76,10283,United Kingdom,25.52,25.52,2023,4,26,Wednesday
C547573,ST47745,IVORY KNITTED MUG COZY,5,2023-04-16,39.07,10508,United Kingdom,195.35,195.35,2023,4,16,Sunday
C542541,ST50019,POPPY'S PLAYHOUSE BEDROOM,12,2023-01-02,34.54,10752,United Kingdom,414.48,414.48,2023,1,2,Monday
C552003,ST53536,POPPY'S PLAYHOUSE KITCHEN,2,2023-12-19,9.87,10874,United Kingdom,19.74,19.74,2023,12,19,Tuesday
C545660,ST33267,WHITE HANGING HEART T-LIGHT HOLDER,7,2023-08-22,18.94,10922,United Kingdom,132.58,132.58,2023,8,22,Tuesday
C541409,ST72105,POPPY'S PLAYHOUSE KITCHEN,1,2023-05-16,33.02,10998,Germany,33.02,33.02,2023,5,16,Tuesday
C568366,ST84352,BOX OF VINTAGE JIGSAW BLOCKS,1,2023-01-01,45.19,10598,EIRE,45.19,45.19,2023,1,1,Sunday
C551326,ST23106,MASON JAR CANDLE HOLDER,3,2023-05-29,42.83,10697,United Kingdom,128.49,128.49,2023,5,29,Monday
C566027,ST73765,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-06-21,14.78,10312,United Kingdom,133.01999999999998,133.01999999999998,2023,6,21,Wednesday
C566429,ST77873,WHITE HANGING HEART T-LIGHT HOLDER,58,2023-07-06,39.31,10260,United Kingdom,2279.98,2279.98,2023,7,6,Thursday
C575407,ST93859,LUNCH BAG SUKI DESIGN,11,2023-12-06,28.97,10794,United Kingdom,318.67,318.66999999999996,2023,12,6,Wednesday
C563255,ST14050,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-03-17,20.19,10022,United Kingdom,60.57000000000001,60.57000000000001,2023,3,17,Friday
C564592,ST59516,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,2,2023-10-23,11.35,10251,United Kingdom,22.7,22.7,2023,10,23,Monday
C554316,ST79062,PACK OF 72 RETROSPOT CAKE CASES,8,2023-02-25,54.31,10655,United Kingdom,434.48,434.48,2023,2,25,Saturday
C580868,ST46208,BLUE CHERRY LIGHTS,70,2023-05-16,32.75,10180,United Kingdom,2292.5,2292.5,2023,5,16,Tuesday
C539058,ST26116,AIRLINE BAG VINTAGE WORLD CHAMPION,6,2023-04-08,46.02,10317,United Kingdom,276.12,276.12,2023,4,8,Saturday
C573501,ST99853,BLUE CHERRY LIGHTS,1,2023-08-21,27.87,10444,United Kingdom,27.87,27.87,2023,8,21,Monday
C580989,ST97073,ASSORTED COLOUR BIRD ORNAMENT,5,2023-08-27,34.63,10151,Norway,173.15,173.15,2023,8,27,Sunday
C568269,ST15367,LOVE BUILDING BLOCK WORD,5,2023-06-05,1.69,10167,United Kingdom,8.45,8.45,2023,6,5,Monday
C575232,ST56170,HAND WARMER UNION JACK,5,2023-05-25,1.13,10223,United Kingdom,5.65,5.6499999999999995,2023,5,25,Thursday
C539635,ST75797,BOX OF VINTAGE ALPHABET BLOCKS,5,2023-01-01,43.37,10677,United Kingdom,216.85,216.85,2023,1,1,Sunday
C546525,ST35785,SET 7 BABUSHKA NESTING BOXES,3,2023-10-15,54.78,10682,United Kingdom,164.34,164.34,2023,10,15,Sunday
C541654,ST42601,LOVE BUILDING BLOCK WORD,8,2023-10-27,51.37,10443,Germany,410.96,410.96,2023,10,27,Friday
C578114,ST49586,WHITE BUTTERFLY T-LIGHT HOLDER,2,2023-12-14,49.21,10832,United Kingdom,98.42,98.42,2023,12,14,Thursday
C547722,ST28242,SKULL SHOULDER BAG,6,2023-06-09,44.41,10612,Channel Islands,266.46,266.46,2023,6,9,Friday
C552750,ST21219,HAND WARMER RED POLKA DOT,4,2023-04-13,17.15,10700,United Kingdom,68.6,68.6,2023,4,13,Thursday
C577542,ST67264,LUNCH BAG PINK POLKADOT,7,2023-10-18,43.22,10305,United Kingdom,302.54,302.53999999999996,2023,10,18,Wednesday
C570874,ST56865,LUNCH BAG RED RETROSPOT,9,2023-03-12,51.47,10099,Germany,463.23,463.23,2023,3,12,Sunday
C564392,ST83257,LUNCH BAG PINK POLKADOT,7,2023-07-01,25.83,10480,United Kingdom,180.81,180.81,2023,7,1,Saturday
C542160,ST86064,HAND WARMER RED POLKA DOT,5,2023-08-04,43.45,10028,United Kingdom,217.25,217.25,2023,8,4,Friday
C544706,ST17017,SAVE THE WHALE COTTON BAG,10,2023-07-11,48.38,10525,United Kingdom,483.8,483.8,2023,7,11,Tuesday
C544618,ST77896,SMALL POPCORN HOLDER,8,2023-07-21,44.58,10774,United Kingdom,356.64,356.64,2023,7,21,Friday
C541913,ST87901,KNITTED UNION FLAG HOT WATER BOTTLE,11,2023-01-28,6.65,10472,Spain,73.15,73.15,2023,1,28,Saturday
C573421,ST86626,LUNCH BAG SUKI DESIGN,1,2023-05-29,7.43,10100,United Kingdom,7.43,7.43,2023,5,29,Monday
C539839,ST74920,IVORY KNITTED MUG COZY,9,2023-09-19,40.94,10691,United Kingdom,368.46,368.46,2023,9,19,Tuesday
C580646,ST10845,PACK OF 72 RETROSPOT CAKE CASES,58,2023-04-25,34.87,10140,United Kingdom,2022.46,2022.4599999999998,2023,4,25,Tuesday
C577237,ST25864,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2023-09-06,9.14,10825,United Kingdom,9.14,9.14,2023,9,6,Wednesday
C552565,ST68171,IVORY KNITTED MUG COZY,1,2023-02-19,45.94,10533,United Kingdom,45.94,45.94,2023,2,19,Sunday
C544348,ST81659,RECIPE BOX WITH METAL HEART,3,2023-01-29,45.27,10401,United Kingdom,135.81,135.81,2023,1,29,Sunday
C548476,ST81654,ASSORTED COLOUR BIRD ORNAMENT,50,2023-01-12,10.1,10652,France,505.0,505.0,2023,1,12,Thursday
C567852,ST74613,LOVE BUILDING BLOCK WORD,2,2023-09-01,52.78,10206,United Kingdom,105.56,105.56,2023,9,1,Friday
C554399,ST65683,SMALL POPCORN HOLDER,2,2023-12-08,25.97,10377,United Kingdom,51.94,51.94,2023,12,8,Friday
C554939,ST49683,LUNCH BAG PINK POLKADOT,7,2023-01-15,1.45,10152,Spain,10.15,10.15,2023,1,15,Sunday
C578991,ST71329,SAVE THE WHALE COTTON BAG,6,2023-11-27,52.99,10035,United Kingdom,317.94,317.94,2023,11,27,Monday
C554512,ST75956,WHITE HANGING HEART T-LIGHT HOLDER,65,2023-08-23,27.96,10904,United Kingdom,1817.4,1817.4,2023,8,23,Wednesday
C570775,ST56119,WHITE BUTTERFLY T-LIGHT HOLDER,3,2023-06-28,36.37,10216,United Kingdom,109.11,109.10999999999999,2023,6,28,Wednesday
C558600,ST96303,LUNCH BAG PINK POLKADOT,3,2023-10-16,15.92,10672,United Kingdom,47.76,47.76,2023,10,16,Monday
C540835,ST33642,LUNCH BAG SUKI DESIGN,8,2023-07-21,33.66,10311,United Kingdom,269.28,269.28,2023,7,21,Friday
C569590,ST86116,MASON JAR CANDLE HOLDER,12,2023-12-29,18.4,10590,Channel Islands,220.8,220.79999999999998,2023,12,29,Friday
C576831,ST30863,SMALL POPCORN HOLDER,1,2023-10-27,46.99,10357,United Kingdom,46.99,46.99,2023,10,27,Friday
C579963,ST40347,GLASS STAR FROSTED T-LIGHT HOLDER,11,2023-02-19,26.65,10238,United Kingdom,293.15,293.15,2023,2,19,Sunday
C543274,ST65057,POPPY'S PLAYHOUSE BEDROOM,7,2023-05-02,41.78,10791,Germany,292.46000000000004,292.46000000000004,2023,5,2,Tuesday
C540423,ST19552,SAVE THE WHALE COTTON BAG,1,2023-02-02,46.7,10945,United Kingdom,46.7,46.7,2023,2,2,Thursday
C576114,ST68918,PACK OF 72 RETROSPOT CAKE CASES,42,2023-07-11,18.24,10453,United Kingdom,766.0799999999999,766.0799999999999,2023,7,11,Tuesday
C578137,ST67345,SKULL SHOULDER BAG,4,2023-03-10,14.52,10387,United Kingdom,58.08,58.08,2023,3,10,Friday
C551143,ST35204,FELTCRAFT PRINCESS CHARLOTTE DOLL,7,2023-05-27,44.92,10696,Switzerland,314.44,314.44,2023,5,27,Saturday
C537953,ST28423,PACK OF 72 RETROSPOT CAKE CASES,32,2023-10-26,11.87,10089,United Kingdom,379.84,379.84,2023,10,26,Thursday
C559929,ST99438,LARGE POPCORN HOLDER,2,2023-01-03,19.3,10915,United Kingdom,38.6,38.6,2023,1,3,Tuesday
C570978,ST72093,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-11-25,31.74,10748,United Kingdom,126.96,126.96,2023,11,25,Saturday
C559727,ST67524,SAVE THE WHALE COTTON BAG,37,2023-06-30,44.26,10513,United Kingdom,1637.62,1637.62,2023,6,30,Friday
C561014,ST49089,RED WOOLLY HOTTIE WHITE HEART,3,2023-11-17,43.22,10438,United Kingdom,129.66,129.66,2023,11,17,Friday
C569048,ST39362,BOX OF 6 ASSORTED COLOUR TEASPOONS,9,2023-03-02,18.77,10104,United Kingdom,168.93,168.93,2023,3,2,Thursday
C552839,ST30691,WHITE BUTTERFLY T-LIGHT HOLDER,2,2023-05-29,48.09,10842,Germany,96.18,96.18,2023,5,29,Monday
