InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
C547848,ST29925,LOVE BUILDING BLOCK WORD,9,2023-06-23,9.5,10487,Switzerland,85.5
C544127,ST82393,GLASS HANGING T-LIGHT HOLDER,72,2023-08-01,9.42,10168,EIRE,678.24
C554795,ST22723,BOX OF VINTAGE JIGSAW BLOCKS,38,2023-08-29,50.08,10644,United Kingdom,1903.04
C545251,ST12615,WHITE BUTTERFLY T-LIGHT HOLDER,8,2023-01-21,10.08,10774,United Kingdom,80.64
C560114,ST12602,LUNCH BAG RED RETROSPOT,3,2023-12-19,25.07,10601,United Kingdom,75.21000000000001
C580389,ST58492,SKULL SHOULDER BAG,6,2023-09-09,54.34,10994,United Kingdom,326.04
C545208,ST24545,SAVE THE WHALE COTTON BAG,7,2023-04-01,50.49,10071,United Kingdom,353.43
C549284,ST20888,PACK OF 72 RETROSPOT CAKE CASES,12,2023-12-09,43.78,10958,United Kingdom,525.36
C568788,ST32159,WHITE METAL LANTERN,10,2023-11-05,23.47,10364,United Kingdom,234.7
C548949,ST13072,SET OF 4 PANTRY JELLY MOULDS,9,2023-05-10,49.82,10374,France,448.38
C547301,ST68842,KNITTED UNION FLAG HOT WATER BOTTLE,12,2023-06-13,17.45,10502,United Kingdom,209.39999999999998
C539016,ST20517,HOME BUILDING BLOCK WORD,11,2023-06-22,25.66,10444,United Kingdom,282.26
C538421,ST85189,HAND WARMER RED POLKA DOT,99,2023-10-10,1.43,10341,France,141.57
C561312,ST98067,FELTCRAFT PRINCESS CHARLOTTE DOLL,68,2023-06-04,21.88,10020,United Kingdom,1487.84
C560950,ST65641,PINK CHERRY LIGHTS,9,2023-12-23,47.07,10277,United Kingdom,423.63
C558786,ST74071,HAND WARMER RED POLKA DOT,53,2023-12-29,30.76,10417,United Kingdom,1630.28
C541824,ST51761,LUNCH BAG RED RETROSPOT,30,2023-05-17,44.47,10289,United Kingdom,1334.1
C543804,ST33213,WHITE METAL LANTERN,33,2023-09-18,14.01,10883,Germany,462.33
C546457,ST11264,SKULL SHOULDER BAG,31,2023-02-03,47.62,10383,United Kingdom,1476.22
C558721,ST70393,SAVE THE WHALE COTTON BAG,10,2023-01-07,34.75,10741,United Kingdom,347.5
C579942,ST36151,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-06-19,38.98,10647,Spain,38.98
C548526,ST99863,SET 7 BABUSHKA NESTING BOXES,2,2023-02-11,1.06,10941,Spain,2.12
C539641,ST72396,SET 7 BABUSHKA NESTING BOXES,11,2023-04-18,29.51,10239,Spain,324.61
C568825,ST98625,AIRLINE BAG VINTAGE JET SET,8,2023-04-12,16.45,10838,United Kingdom,131.6
C565365,ST35915,POPPY'S PLAYHOUSE BEDROOM,2,2023-02-01,10.37,10607,United Kingdom,20.74
C571885,ST19932,SKULL SHOULDER BAG,35,2023-03-15,38.91,10270,Norway,1361.85
C557428,ST48891,BOX OF 6 ASSORTED COLOUR TEASPOONS,11,2023-04-06,46.12,10193,Germany,507.32
C569569,ST55188,PACK OF 72 RETROSPOT CAKE CASES,7,2023-07-31,14.44,10616,United Kingdom,101.08
C571135,ST31137,WHITE HANGING HEART T-LIGHT HOLDER,11,2023-05-04,14.48,10754,United Kingdom,159.28
C540479,ST66373,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-02-01,4.12,10067,United Kingdom,49.44
C565589,ST57379,WHITE HANGING HEART T-LIGHT HOLDER,31,2023-12-12,18.09,10082,Netherlands,560.79
C576047,ST69085,RED WOOLLY HOTTIE WHITE HEART,12,2023-12-15,46.32,10715,United Kingdom,555.84
C560642,ST34941,SET OF 3 CAKE TINS PANTRY DESIGN,8,2023-09-03,17.82,10367,United Kingdom,142.56
C547542,ST70508,CREAM CUPID HEARTS COAT HANGER,7,2023-10-28,26.03,10234,United Kingdom,182.21
C566749,ST60536,LUNCH BAG PINK POLKADOT,3,2023-07-26,40.81,10333,United Kingdom,122.43
C545502,ST57934,CHOCOLATE HOT WATER BOTTLE,11,2023-01-13,8.94,10430,France,98.33999999999999
C579734,ST12148,POPPY'S PLAYHOUSE BEDROOM,3,2023-08-11,12.6,10015,United Kingdom,37.8
C546188,ST30750,HOME BUILDING BLOCK WORD,1,2023-08-30,27.78,10401,Germany,27.78
C554562,ST66735,BOX OF 6 ASSORTED COLOUR TEASPOONS,10,2023-10-09,40.04,10311,Portugal,400.4
C568303,ST52373,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-03-23,4.47,10446,United Kingdom,8.94
C576198,ST38364,LOVE BUILDING BLOCK WORD,9,2023-09-02,51.93,10723,United Kingdom,467.37
C537214,ST99660,RECIPE BOX WITH METAL HEART,6,2023-09-09,34.99,10427,United Kingdom,209.94
C576448,ST58936,HAND WARMER UNION JACK,9,2023-08-08,16.11,10634,France,144.99
C544762,ST68599,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,8,2023-12-19,4.27,10827,United Kingdom,34.16
C552494,ST50964,IVORY KNITTED MUG COZY,49,2023-08-02,50.13,10379,United Kingdom,2456.3700000000003
C554749,ST26663,VINTAGE PAISLEY STATIONERY SET,6,2023-09-01,38.66,10650,France,231.95999999999998
C577828,ST89873,SKULL SHOULDER BAG,49,2023-06-14,39.19,10989,United Kingdom,1920.31
C568385,ST22528,SKULL SHOULDER BAG,1,2023-05-08,17.82,10243,Netherlands,17.82
C577233,ST44866,CHOCOLATE HOT WATER BOTTLE,8,2023-03-17,25.9,10394,United Kingdom,207.2
C561896,ST57681,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,2023-08-19,39.4,10069,United Kingdom,197.0
C567412,ST91350,BOX OF VINTAGE JIGSAW BLOCKS,1,2023-01-31,18.57,10869,United Kingdom,18.57
C545941,ST89268,HOME BUILDING BLOCK WORD,82,2023-10-15,54.2,10495,France,4444.400000000001
C549476,ST48747,FELTCRAFT PRINCESS CHARLOTTE DOLL,96,2023-10-02,33.62,10905,United Kingdom,3227.5199999999995
C549140,ST59284,MASON JAR CANDLE HOLDER,5,2023-02-01,14.29,10752,EIRE,71.44999999999999
C537080,ST13777,RECIPE BOX WITH METAL HEART,3,2023-12-25,16.88,10434,Netherlands,50.64
C563983,ST60072,SET 7 BABUSHKA NESTING BOXES,3,2023-11-26,25.04,10668,United Kingdom,75.12
C575283,ST69761,LUNCH BAG RED RETROSPOT,2,2023-03-22,51.58,10569,Norway,103.16
C576115,ST12222,LUNCH BAG PINK POLKADOT,10,2023-04-12,7.81,10283,United Kingdom,78.1
C557764,ST59155,VINTAGE PAISLEY STATIONERY SET,3,2023-01-27,17.92,10127,United Kingdom,53.760000000000005
C577579,ST90357,PARTY BUNTING,7,2023-01-14,10.49,10564,United Kingdom,73.43
C578545,ST77070,LOVE BUILDING BLOCK WORD,10,2023-01-18,2.98,10857,Spain,29.8
C568915,ST78521,RED WOOLLY HOTTIE WHITE HEART,37,2023-03-09,9.06,10058,United Kingdom,335.22
C542385,ST55032,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,63,2023-05-01,5.24,10168,United Kingdom,330.12
C568638,ST61903,SMALL POPCORN HOLDER,9,2023-02-05,23.4,10769,United Kingdom,210.6
C572285,ST44177,SET 7 BABUSHKA NESTING BOXES,77,2023-03-21,9.46,10712,United Kingdom,728.4200000000001
C540068,ST39559,VINTAGE PAISLEY STATIONERY SET,11,2023-05-03,46.49,10233,United Kingdom,511.39000000000004
C539129,ST28045,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-01-22,52.53,10491,Spain,157.59
C557529,ST76879,WHITE BUTTERFLY T-LIGHT HOLDER,11,2023-06-13,22.28,10513,France,245.08
C568623,ST18907,WHITE METAL LANTERN,12,2023-05-29,23.32,10784,United Kingdom,279.84000000000003
C575009,ST55794,CREAM CUPID HEARTS COAT HANGER,10,2023-04-13,27.46,10042,Portugal,274.6
C574479,ST29956,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,3,2023-02-11,22.36,10719,United Kingdom,67.08
C577500,ST60910,SAVE THE WHALE COTTON BAG,9,2023-01-04,21.12,10550,Norway,190.08
C576185,ST61463,BOX OF VINTAGE ALPHABET BLOCKS,6,2023-04-14,49.47,10164,United Kingdom,296.82
C555067,ST98060,LUNCH BAG RED RETROSPOT,10,2023-11-30,53.25,10123,United Kingdom,532.5
C549773,ST36946,POPPY'S PLAYHOUSE BEDROOM,7,2023-07-27,44.42,10525,United Kingdom,310.94
C555934,ST17126,IVORY KNITTED MUG COZY,58,2023-10-19,20.39,10205,Spain,1182.6200000000001
C551425,ST13121,SKULL SHOULDER BAG,52,2023-11-17,12.59,10664,United Kingdom,654.68
C550548,ST60930,POPPY'S PLAYHOUSE BEDROOM,46,2023-01-07,27.9,10318,United Kingdom,1283.3999999999999
C566372,ST72937,SMALL POPCORN HOLDER,3,2023-06-17,50.71,10738,United Kingdom,152.13
C555065,ST14089,BOX OF VINTAGE JIGSAW BLOCKS,2,2023-11-02,48.74,10575,United Kingdom,97.48
C537099,ST84463,HOME BUILDING BLOCK WORD,58,2023-01-26,24.95,10635,United Kingdom,1447.1
C542737,ST65465,KNITTED UNION FLAG HOT WATER BOTTLE,11,2023-03-23,11.18,10985,Germany,122.97999999999999
C541352,ST14586,HOME BUILDING BLOCK WORD,1,2023-07-10,16.96,10760,Spain,16.96
C556160,ST93454,ASSORTED COLOUR BIRD ORNAMENT,4,2023-03-03,7.37,10921,United Kingdom,29.48
C538355,ST40776,LUNCH BAG SUKI DESIGN,2,2023-12-16,5.51,10763,Germany,11.02
C572897,ST18294,HOME BUILDING BLOCK WORD,12,2023-10-24,31.35,10467,United Kingdom,376.20000000000005
C546411,ST14870,IVORY KNITTED MUG COZY,11,2023-12-21,21.29,10749,EIRE,234.19
C566885,ST15771,LARGE POPCORN HOLDER,1,2023-08-10,32.08,10510,France,32.08
C554769,ST13199,LOVE BUILDING BLOCK WORD,4,2023-02-02,44.28,10673,United Kingdom,177.12
C548690,ST15783,BOX OF VINTAGE JIGSAW BLOCKS,1,2023-05-20,54.77,10688,Germany,54.77
C564895,ST16198,VINTAGE PAISLEY STATIONERY SET,82,2023-10-16,43.73,10895,United Kingdom,3585.8599999999997
C542159,ST58924,AIRLINE BAG VINTAGE JET SET,8,2023-07-06,30.34,10294,United Kingdom,242.72
C572476,ST63346,GLASS HANGING T-LIGHT HOLDER,12,2023-07-10,35.47,10675,France,425.64
C562696,ST29350,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,6,2023-10-25,42.4,10179,United Kingdom,254.39999999999998
C568773,ST43187,GLASS HANGING T-LIGHT HOLDER,7,2023-12-11,5.53,10834,United Kingdom,38.71
C558175,ST99173,BLUE CHERRY LIGHTS,8,2023-03-12,41.66,10907,United Kingdom,333.28
C558873,ST54780,SET OF 4 PANTRY JELLY MOULDS,100,2023-01-22,8.7,10169,France,869.9999999999999
C546813,ST61950,SKULL SHOULDER BAG,4,2023-11-20,45.51,10554,United Kingdom,182.04
C543697,ST10529,SET OF 4 PANTRY JELLY MOULDS,9,2023-08-03,6.47,10084,United Kingdom,58.23
C579922,ST53895,POPPY'S PLAYHOUSE KITCHEN,11,2023-10-09,39.28,10261,Germany,432.08000000000004
C557696,ST61485,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,7,2023-03-01,29.18,10501,France,204.26
C559376,ST94397,LARGE POPCORN HOLDER,2,2023-10-23,13.08,10225,United Kingdom,26.16
C548707,ST74907,WHITE HANGING HEART T-LIGHT HOLDER,84,2023-03-21,44.17,10465,United Kingdom,3710.28
C556455,ST81036,BOX OF VINTAGE JIGSAW BLOCKS,5,2023-02-06,45.54,10148,United Kingdom,227.7
C548882,ST34341,WHITE METAL LANTERN,5,2023-02-19,7.41,10654,United Kingdom,37.05
C541040,ST56860,RED WOOLLY HOTTIE WHITE HEART,2,2023-12-15,23.7,10848,United Kingdom,47.4
C537057,ST49817,AIRLINE BAG VINTAGE JET SET,7,2023-07-26,21.15,10678,Germany,148.04999999999998
C575010,ST74400,LUNCH BAG SUKI DESIGN,10,2023-11-14,3.12,10439,United Kingdom,31.200000000000003
C557312,ST60299,BLUE CHERRY LIGHTS,12,2023-09-13,26.5,10033,United Kingdom,318.0
C542787,ST99764,PARTY BUNTING,10,2023-10-03,48.54,10771,United Kingdom,485.4
C561266,ST81268,CREAM CUPID HEARTS COAT HANGER,31,2023-01-14,26.56,10503,EIRE,823.36
C552446,ST54221,PACK OF 72 RETROSPOT CAKE CASES,78,2023-02-12,21.42,10095,United Kingdom,1670.7600000000002
C567119,ST69139,CREAM CUPID HEARTS COAT HANGER,9,2023-11-06,42.93,10248,Italy,386.37
C563274,ST98505,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-11-11,32.98,10222,United Kingdom,98.94
C569545,ST84062,LUNCH BAG RED RETROSPOT,3,2023-01-15,25.93,10800,United Kingdom,77.78999999999999
C579206,ST74369,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-10-02,38.66,10398,United Kingdom,77.32
C555592,ST24375,POPPY'S PLAYHOUSE KITCHEN,10,2023-08-20,18.8,10179,United Kingdom,188.0
C541399,ST95704,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2023-03-21,1.16,10704,United Kingdom,4.64
C561053,ST99526,CREAM CUPID HEARTS COAT HANGER,4,2023-04-01,19.26,10928,United Kingdom,77.04
C551355,ST28245,LUNCH BAG RED RETROSPOT,34,2023-09-10,6.35,10598,United Kingdom,215.89999999999998
C573246,ST66357,WHITE METAL LANTERN,6,2023-11-06,43.86,10136,EIRE,263.15999999999997
C570782,ST14395,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,2,2023-12-29,23.52,10022,United Kingdom,47.04
C572887,ST97123,PARTY BUNTING,2,2023-08-12,15.08,10286,EIRE,30.16
C562666,ST31233,SET OF 4 PANTRY JELLY MOULDS,37,2023-09-01,7.4,10367,United Kingdom,273.8
C548606,ST44472,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2023-10-20,21.07,10089,United Kingdom,189.63
C579373,ST40441,POPPY'S PLAYHOUSE BEDROOM,2,2023-02-04,31.16,10490,United Kingdom,62.32
C556048,ST17863,HAND WARMER RED POLKA DOT,7,2023-03-17,1.46,10208,United Kingdom,10.219999999999999
C543754,ST49759,MASON JAR CANDLE HOLDER,10,2023-01-07,29.58,10523,United Kingdom,295.79999999999995
C557305,ST72227,BOX OF VINTAGE JIGSAW BLOCKS,47,2023-03-12,11.07,10902,United Kingdom,520.29
C550397,ST80962,GLASS STAR FROSTED T-LIGHT HOLDER,9,2023-09-03,35.15,10490,United Kingdom,316.34999999999997
C545940,ST18912,HAND WARMER RED POLKA DOT,38,2023-02-06,47.48,10880,United Kingdom,1804.2399999999998
C541122,ST92001,SKULL SHOULDER BAG,11,2023-09-20,41.65,10490,United Kingdom,458.15
C553566,ST52006,LARGE POPCORN HOLDER,7,2023-04-26,3.17,10371,Belgium,22.189999999999998
C538178,ST89486,FELTCRAFT PRINCESS CHARLOTTE DOLL,6,2023-07-22,22.01,10800,Spain,132.06
C544709,ST94677,LUNCH BAG SUKI DESIGN,9,2023-04-26,48.98,10857,Germany,440.82
C546672,ST19837,BOX OF VINTAGE JIGSAW BLOCKS,5,2023-11-22,27.77,10893,France,138.85
C538390,ST29079,LARGE POPCORN HOLDER,2,2023-11-04,39.0,10444,United Kingdom,78.0
C538983,ST54758,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,5,2023-11-25,26.0,10792,United Kingdom,130.0
C576033,ST60606,CHOCOLATE HOT WATER BOTTLE,80,2023-10-02,28.54,10311,Netherlands,2283.2
C575002,ST85233,VINTAGE PAISLEY STATIONERY SET,97,2023-12-19,33.3,10776,United Kingdom,3230.1
C558455,ST90788,SET 7 BABUSHKA NESTING BOXES,6,2023-08-29,29.7,10141,United Kingdom,178.2
C552853,ST87913,PACK OF 72 RETROSPOT CAKE CASES,5,2023-02-02,48.22,10647,United Kingdom,241.1
C556881,ST50153,CHOCOLATE HOT WATER BOTTLE,92,2023-04-27,11.21,10526,United Kingdom,1031.3200000000002
C570291,ST96391,LARGE POPCORN HOLDER,10,2023-06-21,23.8,10197,United Kingdom,238.0
C545492,ST81142,LOVE BUILDING BLOCK WORD,11,2023-11-10,20.42,10193,EIRE,224.62
C549764,ST48202,LUNCH BAG PINK POLKADOT,3,2023-06-14,7.2,10567,United Kingdom,21.6
C549847,ST94866,AIRLINE BAG VINTAGE JET SET,6,2023-05-07,10.76,10654,United Kingdom,64.56
C560940,ST84473,BOX OF VINTAGE JIGSAW BLOCKS,12,2023-09-12,15.51,10830,Italy,186.12
C558738,ST59356,ASSORTED COLOUR BIRD ORNAMENT,2,2023-10-03,14.52,10471,United Kingdom,29.04
C562125,ST69606,WHITE HANGING HEART T-LIGHT HOLDER,5,2023-10-09,51.09,10833,United Kingdom,255.45000000000002
C574610,ST16683,HOME BUILDING BLOCK WORD,7,2023-10-09,11.64,10958,United Kingdom,81.48
C568448,ST25655,AIRLINE BAG VINTAGE JET SET,7,2023-11-18,21.8,10438,Germany,152.6
C544420,ST19211,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,1,2023-04-03,3.07,10144,Netherlands,3.07
C572310,ST65478,GLASS HANGING T-LIGHT HOLDER,2,2023-02-25,50.98,10285,United Kingdom,101.96
C579638,ST91836,SKULL SHOULDER BAG,2,2023-01-21,19.13,10210,EIRE,38.26
C554989,ST84791,PARTY BUNTING,4,2023-05-22,34.33,10737,United Kingdom,137.32
C572581,ST86561,BLUE CHERRY LIGHTS,39,2023-05-17,2.09,10770,Netherlands,81.50999999999999
C547626,ST31023,WHITE BUTTERFLY T-LIGHT HOLDER,10,2023-04-23,1.79,10325,Germany,17.9
C576612,ST63267,HOME BUILDING BLOCK WORD,35,2023-10-20,6.03,10094,France,211.05
C566479,ST46630,SAVE THE WHALE COTTON BAG,3,2023-05-04,50.54,10227,United Kingdom,151.62
C552013,ST68479,RECIPE BOX WITH METAL HEART,10,2023-01-02,46.86,10110,Portugal,468.6
C542942,ST60393,SET 7 BABUSHKA NESTING BOXES,8,2023-04-29,24.81,10219,Germany,198.48
C561279,ST98252,WHITE METAL LANTERN,5,2023-11-11,11.96,10872,United Kingdom,59.800000000000004
C570701,ST60842,PINK CHERRY LIGHTS,8,2023-08-12,28.33,10504,France,226.64
C576116,ST99558,IVORY KNITTED MUG COZY,12,2023-08-15,5.04,10859,United Kingdom,60.480000000000004
C562841,ST42606,IVORY KNITTED MUG COZY,6,2023-03-28,22.79,10387,Spain,136.74
C551496,ST99979,WHITE BUTTERFLY T-LIGHT HOLDER,8,2023-05-29,52.87,10733,United Kingdom,422.96
C552360,ST55243,RED WOOLLY HOTTIE WHITE HEART,1,2023-10-16,21.91,10958,Germany,21.91
C537708,ST21725,SET OF 3 CAKE TINS PANTRY DESIGN,8,2023-07-15,50.08,10369,United Kingdom,400.64
C559186,ST32091,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,2023-05-11,26.76,10448,United Kingdom,133.8
C578636,ST59996,MASON JAR CANDLE HOLDER,4,2023-10-27,46.66,10225,United Kingdom,186.64
C551345,ST82459,SET 7 BABUSHKA NESTING BOXES,3,2023-01-25,5.85,10374,United Kingdom,17.549999999999997
C541559,ST28564,MASON JAR CANDLE HOLDER,77,2023-05-09,8.92,10052,United Kingdom,686.84
C554617,ST18752,POPPY'S PLAYHOUSE BEDROOM,5,2023-08-12,9.87,10880,United Kingdom,49.349999999999994
C577059,ST81819,KNITTED UNION FLAG HOT WATER BOTTLE,12,2023-02-17,10.38,10238,United Kingdom,124.56
C547370,ST20098,BOX OF VINTAGE JIGSAW BLOCKS,4,2023-08-05,33.48,10482,United Kingdom,133.92
C553997,ST58356,POPPY'S PLAYHOUSE BEDROOM,8,2023-02-21,30.82,10069,United Kingdom,246.56
C546373,ST52661,GLASS HANGING T-LIGHT HOLDER,51,2023-04-02,43.46,10741,Germany,2216.46
C554212,ST17451,SET OF 4 PANTRY JELLY MOULDS,84,2023-03-29,28.17,10876,United Kingdom,2366.28
C547309,ST89818,KNITTED UNION FLAG HOT WATER BOTTLE,3,2023-03-11,13.95,10404,Netherlands,41.849999999999994
C573973,ST24401,HOME BUILDING BLOCK WORD,8,2023-07-08,10.33,10855,EIRE,82.64
C546987,ST59469,PACK OF 72 RETROSPOT CAKE CASES,1,2023-05-08,4.48,10731,United Kingdom,4.48
C555187,ST61775,LUNCH BAG PINK POLKADOT,8,2023-01-01,37.54,10140,United Kingdom,300.32
C562834,ST56391,MASON JAR CANDLE HOLDER,11,2023-10-05,51.93,10564,Spain,571.23
C574210,ST31875,SMALL POPCORN HOLDER,9,2023-11-07,51.58,10806,United Kingdom,464.21999999999997
C544638,ST49117,CREAM CUPID HEARTS COAT HANGER,10,2023-09-13,54.71,10516,United Kingdom,547.1
C563392,ST73861,WHITE BUTTERFLY T-LIGHT HOLDER,6,2023-11-06,2.14,10119,United Kingdom,12.84
C550492,ST87388,PARTY BUNTING,3,2023-01-09,25.21,10204,France,75.63
C578902,ST39762,RECIPE BOX WITH METAL HEART,3,2023-03-13,1.74,10810,United Kingdom,5.22
C552940,ST36829,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-08-13,26.04,10926,United Kingdom,312.48
C563614,ST23275,KNITTED UNION FLAG HOT WATER BOTTLE,3,2023-03-08,49.42,10475,Channel Islands,148.26
C539846,ST66804,BLUE CHERRY LIGHTS,7,2023-07-11,48.88,10303,EIRE,342.16
C555629,ST72843,BLUE CHERRY LIGHTS,90,2023-11-03,26.69,10080,United Kingdom,2402.1
C558087,ST23277,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2023-06-30,9.84,10070,United Kingdom,88.56
C573169,ST78300,HOME BUILDING BLOCK WORD,9,2023-12-31,12.69,10150,EIRE,114.21
C565748,ST91496,SMALL POPCORN HOLDER,10,2023-01-13,25.77,10381,United Kingdom,257.7
C560480,ST67461,KNITTED UNION FLAG HOT WATER BOTTLE,94,2023-05-26,7.53,10335,United Kingdom,707.82
C564768,ST84232,SET OF 4 PANTRY JELLY MOULDS,9,2023-09-07,40.31,10777,United Kingdom,362.79
C546413,ST93257,WHITE BUTTERFLY T-LIGHT HOLDER,12,2023-02-04,24.67,10519,Netherlands,296.04
C545684,ST38866,FELTCRAFT PRINCESS CHARLOTTE DOLL,7,2023-03-15,15.78,10274,United Kingdom,110.46
C556216,ST35383,WHITE HANGING HEART T-LIGHT HOLDER,44,2023-01-23,23.51,10043,France,1034.44
C564343,ST18680,VINTAGE PAISLEY STATIONERY SET,4,2023-03-19,0.88,10428,Spain,3.52
C553765,ST31706,LUNCH BAG SUKI DESIGN,4,2023-01-20,26.21,10168,United Kingdom,104.84
C568705,ST54923,HAND WARMER UNION JACK,8,2023-12-11,44.8,10948,United Kingdom,358.4
C567096,ST53332,BOX OF VINTAGE ALPHABET BLOCKS,9,2023-07-10,49.0,10632,United Kingdom,441.0
C557764,ST87303,MASON JAR CANDLE HOLDER,11,2023-12-07,46.08,10647,United Kingdom,506.88
C554647,ST12913,AIRLINE BAG VINTAGE JET SET,4,2023-12-16,13.1,10533,United Kingdom,52.4
C554203,ST63046,PINK CHERRY LIGHTS,58,2023-09-05,27.86,10445,Germany,1615.8799999999999
C556048,ST38698,BOX OF VINTAGE ALPHABET BLOCKS,3,2023-10-30,30.9,10053,United Kingdom,92.69999999999999
C566796,ST64086,ASSORTED COLOUR BIRD ORNAMENT,89,2023-05-08,28.24,10902,Spain,2513.3599999999997
C563843,ST91665,SKULL SHOULDER BAG,2,2023-07-24,13.98,10761,United Kingdom,27.96
C540711,ST66645,CHOCOLATE HOT WATER BOTTLE,27,2023-12-06,24.44,10493,United Kingdom,659.88
C567374,ST40891,WHITE METAL LANTERN,6,2023-08-01,7.25,10158,United Kingdom,43.5
C562339,ST47547,AIRLINE BAG VINTAGE WORLD CHAMPION,7,2023-09-09,46.85,10499,United Kingdom,327.95
C547171,ST20863,PINK CHERRY LIGHTS,6,2023-11-09,32.99,10250,Germany,197.94
C541759,ST22099,WHITE HANGING HEART T-LIGHT HOLDER,7,2023-02-12,27.53,10104,United Kingdom,192.71
C578830,ST14284,ASSORTED COLOUR BIRD ORNAMENT,20,2023-12-24,26.37,10957,United Kingdom,527.4
C560401,ST50601,BLUE CHERRY LIGHTS,2,2023-05-30,3.04,10137,United Kingdom,6.08
C538917,ST35198,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2023-02-21,34.12,10339,United Kingdom,34.12
C561980,ST78955,SET OF 3 CAKE TINS PANTRY DESIGN,10,2023-03-29,16.63,10809,United Kingdom,166.29999999999998
C555006,ST30629,HAND WARMER RED POLKA DOT,10,2023-11-10,47.01,10074,United Kingdom,470.09999999999997
C570108,ST14198,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-12-25,38.16,10659,Switzerland,152.64
C579947,ST76699,POPPY'S PLAYHOUSE KITCHEN,8,2023-06-23,20.28,10403,United Kingdom,162.24
C579192,ST50543,SMALL POPCORN HOLDER,4,2023-05-31,43.86,10314,Germany,175.44
C550163,ST20414,BOX OF VINTAGE JIGSAW BLOCKS,12,2023-06-17,9.26,10683,United Kingdom,111.12
C544079,ST19626,ASSORTED COLOUR BIRD ORNAMENT,8,2023-10-28,7.68,10061,United Kingdom,61.44
C581435,ST63723,CHOCOLATE HOT WATER BOTTLE,12,2023-06-20,26.93,10290,United Kingdom,323.15999999999997
C580160,ST37495,VINTAGE PAISLEY STATIONERY SET,5,2023-11-26,51.61,10126,United Kingdom,258.05
C579368,ST18658,CREAM CUPID HEARTS COAT HANGER,7,2023-08-31,11.22,10918,United Kingdom,78.54
C552891,ST62099,WHITE BUTTERFLY T-LIGHT HOLDER,8,2023-01-17,25.95,10051,United Kingdom,207.6
C557571,ST65358,LUNCH BAG RED RETROSPOT,6,2023-12-30,41.21,10803,United Kingdom,247.26
C573495,ST64499,POPPY'S PLAYHOUSE BEDROOM,3,2023-06-11,52.52,10675,United Kingdom,157.56
C558290,ST89157,ASSORTED COLOUR BIRD ORNAMENT,3,2023-09-07,13.85,10096,United Kingdom,41.55
C549620,ST54952,POPPY'S PLAYHOUSE BEDROOM,1,2023-05-23,35.05,10508,Italy,35.05
C560811,ST75677,PINK CHERRY LIGHTS,8,2023-11-11,42.63,10820,United Kingdom,341.04
C546051,ST45841,PINK CHERRY LIGHTS,12,2023-04-19,41.14,10207,United Kingdom,493.68
C571016,ST15167,AIRLINE BAG VINTAGE WORLD CHAMPION,10,2023-07-20,11.5,10544,United Kingdom,115.0
C572221,ST53595,LOVE BUILDING BLOCK WORD,8,2023-10-30,3.26,10466,United Kingdom,26.08
C574986,ST64689,PACK OF 72 RETROSPOT CAKE CASES,28,2023-07-28,26.55,10019,United Kingdom,743.4
C576260,ST39215,SKULL SHOULDER BAG,6,2023-08-26,46.05,10952,United Kingdom,276.29999999999995
C556044,ST44782,CREAM CUPID HEARTS COAT HANGER,94,2023-05-16,14.61,10461,United Kingdom,1373.34
C551387,ST10294,CREAM CUPID HEARTS COAT HANGER,8,2023-09-29,13.79,10005,United Kingdom,110.32
C541352,ST12142,HOME BUILDING BLOCK WORD,9,2023-01-25,51.75,10441,United Kingdom,465.75
C556432,ST37972,AIRLINE BAG VINTAGE JET SET,8,2023-11-24,54.4,10514,United Kingdom,435.2
C572564,ST60990,LOVE BUILDING BLOCK WORD,4,2023-12-05,50.97,10547,United Kingdom,203.88
C547980,ST20443,GLASS HANGING T-LIGHT HOLDER,1,2023-06-18,37.95,10575,United Kingdom,37.95
C552460,ST43841,LUNCH BAG SUKI DESIGN,3,2023-11-28,51.27,10337,United Kingdom,153.81
C555522,ST31483,BOX OF VINTAGE ALPHABET BLOCKS,7,2023-12-03,11.9,10174,France,83.3
